anio,fecha,ambito,turistas,temporal_fecha,..anio_fecha
2021,2021-07-31,Nacionales,487962,2021-07,2021
2021,2021-07-31,Internacionales,215620,2021-07,2021
2021,2021-08-31,Nacionales,458991,2021-08,2021
2021,2021-08-31,Internacionales,171685,2021-08,2021
2021,2021-09-30,Nacionales,471101,2021-09,2021
2021,2021-09-30,Internacionales,171881,2021-09,2021
2021,2021-10-31,Nacionales,493481,2021-10,2021
2021,2021-10-31,Internacionales,206915,2021-10,2021
2021,2021-11-30,Nacionales,609150,2021-11,2021
2021,2021-11-30,Internacionales,214935,2021-11,2021
2021,2021-12-31,Nacionales,582944,2021-12,2021
2021,2021-12-31,Internacionales,214093,2021-12,2021
2022,2022-01-31,Nacionales,419016,2022-01,2022
2022,2022-01-31,Internacionales,150440,2022-01,2022
2022,2022-02-28,Nacionales,469788,2022-02,2022
2022,2022-02-28,Internacionales,192335,2022-02,2022
2022,2022-03-31,Nacionales,735602,2022-03,2022
2022,2022-03-31,Internacionales,241207,2022-03,2022
2022,2022-04-30,Nacionales,737494,2022-04,2022
2022,2022-04-30,Internacionales,259138,2022-04,2022
2022,2022-05-31,Nacionales,792721,2022-05,2022
2022,2022-05-31,Internacionales,277813,2022-05,2022
2022,2022-06-30,Nacionales,797368,2022-06,2022
2022,2022-06-30,Internacionales,284169,2022-06,2022
2022,2022-07-31,Nacionales,636023,2022-07,2022
2022,2022-07-31,Internacionales,227321,2022-07,2022
2022,2022-08-31,Nacionales,696463,2022-08,2022
2022,2022-08-31,Internacionales,272845,2022-08,2022
2022,2022-09-30,Nacionales,721064,2022-09,2022
2022,2022-09-30,Internacionales,275674,2022-09,2022
2022,2022-10-31,Nacionales,913968,2022-10,2022
2022,2022-10-31,Internacionales,350208,2022-10,2022
2022,2022-11-30,Nacionales,999639,2022-11,2022
2022,2022-11-30,Internacionales,356661,2022-11,2022
2022,2022-12-31,Nacionales,770892,2022-12,2022
2022,2022-12-31,Internacionales,322192,2022-12,2022
2023,2023-01-31,Nacionales,673988,2023-01,2023
2023,2023-01-31,Internacionales,322638,2023-01,2023
2023,2023-02-28,Nacionales,765952,2023-02,2023
2023,2023-02-28,Internacionales,369934,2023-02,2023
2023,2023-03-31,Nacionales,815494,2023-03,2023
2023,2023-03-31,Internacionales,379299,2023-03,2023
2023,2023-04-30,Nacionales,785917,2023-04,2023
2023,2023-04-30,Internacionales,361932,2023-04,2023
2023,2023-05-31,Nacionales,803160,2023-05,2023
2023,2023-05-31,Internacionales,324142,2023-05,2023
2023,2023-06-30,Nacionales,787882,2023-06,2023
2023,2023-06-30,Internacionales,297251,2023-06,2023
