NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Hotel Ticomán Plaza,Avenida Ticomán 3461,Santa María Ticomán,Gustavo A. Madero,7330,3 Estrellas,19.514247,-99.134602
Hotel Turista Las Flores,Calzada de Tlalpan 1909,Parque San Andrés,Coyoacán,4040,3 Estrellas,19.348634,-99.145744
Hotel Turístico Churubusco,Calzada de Tlalpan 1737,San Diego Churubusco,Coyoacán,4120,3 Estrellas,19.354272,-99.144998
Hotel Uxmal,Madrid 13,Tabacalera,Cuauhtémoc,6030,3 Estrellas,19.433654,-99.156781
Hotel Vigo,Avenida Cuitláhuac 151,ProHogar,Azcapotzalco,2600,3 Estrellas,19.473354,-99.151999
Hotel Villa de Madrid,Calzada de Guadalupe 195,7 de Noviembre,Gustavo A. Madero,7840,3 Estrellas,19.462082,-99.12569
Hotel Villa Quijotes,Moctezuma 20,Aragón la Villa,Gustavo A. Madero,7000,3 Estrellas,19.480593,-99.117189
Hotel Villas Coloniales,Calzada Camarones 575,Santa María Malinalco,Azcapotzalco,2050,3 Estrellas,19.474385,-99.181577
Hotel Xo Ha,Carretera federal a Cuernavaca 5855,San Pedro Mártir,Tlalpan,14650,3 Estrellas,19.260837,-99.173953
Hotel y Villas Ajusco,Carretera Picacho Ajusco 941,Lomas de Padierna,Tlalpan,14240,3 Estrellas,19.28016,-99.214144
Ibis México Alameda,Balderas 49,Centro (Área 5),Cuauhtémoc,6050,3 Estrellas,19.433629,-99.147949
Ibis Styles México Zona Rosa,Liverpool 115 A,Juárez,Cuauhtémoc,6600,3 Estrellas,19.425023,-99.162785
Motel Ermita,Calzada Ermita Iztapalapa 1575,San Miguel,Iztapalapa,9360,3 Estrellas,19.353434,-99.080791
Motel Los Arcos,Carretera federal México Toluca 4419 kilometro 14 1/2,Cooperativa Palo Alto,Cuajimalpa de Morelos,5110,3 Estrellas,19.383773,-99.251156
Motel Quinta Loreto,Miguel Lerdo de Tejada 260,Ampliación Petrolera,Azcapotzalco,2470,3 Estrellas,19.484497,-99.195482
Motel Torre Negra,Calle 6 284,Agrícola Pantitlán,Iztacalco,8100,3 Estrellas,19.41269,-99.058954
One Ciudad de México Alameda,Avenida Juárez 88,Centro (Área 4),Cuauhtémoc,6040,3 Estrellas,19.435021,-99.147836
One Ciudad de México La Raza,Circuito Interior Avenida Río Consulado 130,Santa María Insurgentes,Cuauhtémoc,6430,3 Estrellas,19.462987,-99.148504
One Ciudad de México Patriotismo,Avenida Patriotismo 229,San Pedro de los Pinos,Benito Juárez,3800,3 Estrellas,19.396183,-99.180575
One Ciudad de México Periférico Sur,Periférico Sur 5530,Pedregal de Carrasco,Coyoacán,4700,3 Estrellas,19.302921,-99.165622
Paraiso del Sur Villas & Suites  ,Carretera federal a Cuernavaca 5109,Chimalcoyotl,Tlalpan,14630,3 Estrellas,19.276053,-99.167447
Ryo Kan,Río Panuco 166,Juárez,Cuauhtémoc,6500,3 Estrellas,19.4286732,-99.1715069
Suites Capri Polanco,Francisco Petrarca 118,Polanco V sección,Miguel Hidalgo,11570,3 Estrellas,19.436965,-99.18552
Suites Marne,Río Marne 12,Cuauhtémoc,Cuauhtémoc,6500,3 Estrellas,19.431323,-99.161356
Suites Nápoles,Lucerna 58,Juárez,Cuauhtémoc,6600,3 Estrellas,19.429931,-99.156364
Suites Newton,Newton 46,Polanco V sección,Miguel Hidalgo,11560,3 Estrellas,19.430945,-99.192252
Apartamentos Amueblados Colonia Del Valle,Avenida Colonia del Valle 407,Del Valle Centro,Benito Juárez,3100,2 Estrellas,19.390051,-99.166334
Apartamentos Amueblados San Antonio,Avenida San Antonio 84,Nápoles,Benito Juárez,3810,2 Estrellas,19.385235,-99.179373
Gran Hotel La Paz,Mina 141,Guerrero,Cuauhtémoc,6300,2 Estrellas,19.439911,-99.147978
Gran Hotel Texas,Ignacio Mariscal 129,Tabacalera,Cuauhtémoc,6030,2 Estrellas,19.438203,-99.154397
Hotel Álamos,Eje Central Lázaro Cárdenas 416,Álamos,Benito Juárez,3400,2 Estrellas,19.40088,-99.145111
Hotel Ampudia,Anillo de Circunvalación 619,Centro (Área 3),Cuauhtémoc,6020,2 Estrellas,19.427008,-99.125539
Hotel Ándes,Strauss 77,Vallejo,Gustavo A. Madero,7870,2 Estrellas,19.46754,-99.138746
Hotel Antas,Miguel Negrete 9,Centro ,Cuauhtémoc,15100,2 Estrellas,19.433687,-99.123793
Hotel Atlanta,Belisario Domínguez 31,Centro (Área 2),Cuauhtémoc,6010,2 Estrellas,19.438025,-99.13761
Hotel Beethoven,Beethoven 219,Peralvillo,Cuauhtémoc,6220,2 Estrellas,19.461863,-99.14036
Hotel Bellini,Bellini 1,Peralvillo,Cuauhtémoc,6220,2 Estrellas,19.458917,-99.128783
Hotel Bolivia,República de Bolivia 23,Centro (Área 3),Cuauhtémoc,6020,2 Estrellas,19.439199,-99.131965
Hotel Cadillac,José María Izazaga 35,Centro (Área 8),Cuauhtémoc,6080,2 Estrellas,19.426397,-99.139947
