anio,fecha,ambito,gasto,temporal_fecha,..anio_fecha
2020,2020-08-31,Nacional,850.4175322535863,2020-08,2020
2020,2020-08-31,Internacional,972.6138762577921,2020-08,2020
2020,2020-09-30,Nacional,922.1540816250007,2020-09,2020
2020,2020-09-30,Internacional,1185.21817185816,2020-09,2020
2020,2020-10-31,Nacional,1141.725580853406,2020-10,2020
2020,2020-10-31,Internacional,1614.9351442303598,2020-10,2020
2020,2020-11-30,Nacional,1258.9409366692523,2020-11,2020
2020,2020-11-30,Internacional,1984.5115019529032,2020-11,2020
2020,2020-12-31,Nacional,1054.1231949293028,2020-12,2020
2020,2020-12-31,Internacional,1503.3514909033752,2020-12,2020
2021,2021-01-31,Nacional,927.23344878724,2021-01,2021
2021,2021-01-31,Internacional,1249.44786914013,2021-01,2021
2021,2021-02-28,Nacional,994.969272441701,2021-02,2021
2021,2021-02-28,Internacional,1285.849978339536,2021-02,2021
2021,2021-03-31,Nacional,1145.4062864504133,2021-03,2021
2021,2021-03-31,Internacional,2117.3552185524745,2021-03,2021
2021,2021-04-30,Nacional,1414.5839732314969,2021-04,2021
2021,2021-04-30,Internacional,2532.300388164288,2021-04,2021
2021,2021-05-31,Nacional,1754.000174822525,2021-05,2021
2021,2021-05-31,Internacional,3197.2563084532503,2021-05,2021
2021,2021-06-30,Nacional,1904.193120192813,2021-06,2021
2021,2021-06-30,Internacional,3997.921711591206,2021-06,2021
2021,2021-07-31,Nacional,2131.639008807563,2021-07,2021
2021,2021-07-31,Internacional,4950.59717994102,2021-07,2021
2021,2021-08-31,Nacional,1986.638665801951,2021-08,2021
2021,2021-08-31,Internacional,4247.552194037405,2021-08,2021
2021,2021-09-30,Nacional,1999.0017124036065,2021-09,2021
2021,2021-09-30,Internacional,3874.844135454915,2021-09,2021
2021,2021-10-31,Nacional,2110.631956872739,2021-10,2021
2021,2021-10-31,Internacional,4710.04962156597,2021-10,2021
2021,2021-11-30,Nacional,2622.5999472725734,2021-11,2021
2021,2021-11-30,Internacional,5166.735429221101,2021-11,2021
2021,2021-12-31,Nacional,2514.5392101054144,2021-12,2021
2021,2021-12-31,Internacional,4710.606282665558,2021-12,2021
2022,2022-01-31,Nacional,1850.3403272761684,2022-01,2022
2022,2022-01-31,Internacional,3569.5242389916,2022-01,2022
2022,2022-02-28,Nacional,2136.2826096180606,2022-02,2022
2022,2022-02-28,Internacional,4607.336609486325,2022-02,2022
2022,2022-03-31,Nacional,3408.207953184366,2022-03,2022
2022,2022-03-31,Internacional,5685.781011596448,2022-03,2022
2022,2022-04-30,Nacional,3366.5415971674834,2022-04,2022
2022,2022-04-30,Internacional,5948.356345279744,2022-04,2022
2022,2022-05-31,Nacional,3619.5972718937087,2022-05,2022
2022,2022-05-31,Internacional,6181.027509087375,2022-05,2022
2022,2022-06-30,Nacional,3669.5155714742787,2022-06,2022
2022,2022-06-30,Internacional,6129.277865973055,2022-06,2022
2022,2022-07-31,Nacional,3000.7114330269937,2022-07,2022
2022,2022-07-31,Internacional,5241.268661787913,2022-07,2022
2022,2022-08-31,Nacional,3255.6410716298537,2022-08,2022
2022,2022-08-31,Internacional,6223.88484711885,2022-08,2022
2022,2022-09-30,Nacional,3304.431161073319,2022-09,2022
2022,2022-09-30,Internacional,5847.9421696849995,2022-09,2022
2022,2022-10-31,Nacional,4221.791870057385,2022-10,2022
2022,2022-10-31,Internacional,7041.3540525158405,2022-10,2022
2022,2022-11-30,Nacional,4648.092331588175,2022-11,2022
2022,2022-11-30,Internacional,7495.257905321175,2022-11,2022
2022,2022-12-31,Nacional,3591.2767154599924,2022-12,2022
2022,2022-12-31,Internacional,6742.666388072159,2022-12,2022
2023,2023-01-31,Nacional,3214.3778533999343,2023-01,2023
2023,2023-01-31,Internacional,7508.824082233926,2023-01,2023
2023,2023-02-28,Nacional,3761.682146828669,2023-02,2023
2023,2023-02-28,Internacional,8253.140473813495,2023-02,2023
2023,2023-03-31,Nacional,4080.6346196721356,2023-03,2023
2023,2023-03-31,Internacional,8276.168581745396,2023-03,2023
2023,2023-04-30,Nacional,3874.5915956126605,2023-04,2023
2023,2023-04-30,Internacional,7693.644310388819,2023-04,2023
2023,2023-05-31,Nacional,3960.6431575367415,2023-05,2023
2023,2023-05-31,Internacional,6315.260228103372,2023-05,2023
2023,2023-06-30,Nacional,3810.7795599095984,2023-06,2023
2023,2023-06-30,Internacional,5618.139221261676,2023-06,2023
